model,precision,recall,f1,n_predicted,n_actual
PcaAD,1.0,0.13157894736842105,0.23255813953488372,10,76
OCSVM,0.65,0.5131578947368421,0.5735294117647058,60,76
LevelShiftADDetector,0.0,0.0,0.0,0,76
QuantileADDetector,0.06862745098039216,0.09210526315789473,0.07865168539325842,102,76
ECODDetector,0.43137254901960786,0.2894736842105263,0.3464566929133858,51,76
